"requirement_id","source","requirement","role","object_or_area","execution_packet","implementation_status","verification_status","evidence"
"STRESS-013","Real-World Stress UAT","Unauthorized direct URL","All applicable Admin roles","Cross-cutting","14","REQUIRED","NOT RUN",""
"STRESS-014","Real-World Stress UAT","Malformed import","All applicable Admin roles","Cross-cutting","11/14","REQUIRED","NOT RUN",""
"STRESS-015","Real-World Stress UAT","Same import twice","All applicable Admin roles","Cross-cutting","11/14","REQUIRED","NOT RUN",""
"STRESS-016","Real-World Stress UAT","External dependency unavailable","All applicable Admin roles","Cross-cutting","11/14","REQUIRED","NOT RUN",""
"STRESS-017","Real-World Stress UAT","Partial transaction failure","All applicable Admin roles","Cross-cutting","11/14","REQUIRED","NOT RUN",""
"STRESS-018","Real-World Stress UAT","Large result set","All applicable Admin roles","Cross-cutting","14","REQUIRED","NOT RUN",""
"STRESS-019","Real-World Stress UAT","Zero/empty state","All applicable Admin roles","Cross-cutting","14","REQUIRED","NOT RUN",""
"STRESS-020","Real-World Stress UAT","Cross-organization isolation","All applicable Admin roles","Cross-cutting","14","REQUIRED","NOT RUN",""
"STRESS-021","Real-World Stress UAT","Cross-engine collateral","All applicable Admin roles","Cross-cutting","14","REQUIRED","NOT RUN",""
"ADM-GAP-001","Known Build Gaps","Organization Architecture hard-coded sample UI","Applicable Admin role","Organization Architecture hard-coded sample UI","03","OPEN","NOT RUN",""
"ADM-GAP-002","Known Build Gaps","Rosters dedicated view placeholder","Applicable Admin role","Rosters dedicated view placeholder","05","OPEN","NOT RUN",""
"ADM-GAP-003","Known Build Gaps","Membership placeholder","Applicable Admin role","Membership placeholder","03","OPEN","NOT RUN",""
"ADM-GAP-004","Known Build Gaps","Programs placeholder","Applicable Admin role","Programs placeholder","03","OPEN","NOT RUN",""
"ADM-GAP-005","Known Build Gaps","Teams missing canonical create/edit workflow","Applicable Admin role","Teams missing canonical create/edit workflow","12/13/14","OPEN","NOT RUN",""
"ADM-GAP-006","Known Build Gaps","Seasons placeholder","Applicable Admin role","Seasons placeholder","03","OPEN","NOT RUN",""
"ADM-GAP-007","Known Build Gaps","Registrar placeholder","Applicable Admin role","Registrar placeholder","04","OPEN","NOT RUN",""
"ADM-GAP-008","Known Build Gaps","Team Manager actions partial","Applicable Admin role","Team Manager actions partial","05","OPEN","NOT RUN",""
"ADM-GAP-009","Known Build Gaps","Finance canonical workflow not connected","Applicable Admin role","Finance canonical workflow not connected","07","OPEN","NOT RUN",""
"ADM-GAP-010","Known Build Gaps","Billing placeholder","Applicable Admin role","Billing placeholder","07","OPEN","NOT RUN",""
"ADM-GAP-011","Known Build Gaps","Invoices placeholder","Applicable Admin role","Invoices placeholder","07","OPEN","NOT RUN",""
"ADM-GAP-012","Known Build Gaps","Payments placeholder","Applicable Admin role","Payments placeholder","07","OPEN","NOT RUN",""
"ADM-GAP-013","Known Build Gaps","Payroll hard-coded sample UI","Applicable Admin role","Payroll hard-coded sample UI","07","OPEN","NOT RUN",""
"ADM-GAP-014","Known Build Gaps","Facilities hard-coded sample UI","Applicable Admin role","Facilities hard-coded sample UI","07","OPEN","NOT RUN",""
"ADM-GAP-015","Known Build Gaps","Imports requires ugly UAT","Applicable Admin role","Imports requires ugly UAT","11","OPEN","NOT RUN",""
"ADM-GAP-016","Known Build Gaps","Compliance hard-coded sample UI","Applicable Admin role","Compliance hard-coded sample UI","07","OPEN","NOT RUN",""
"ADM-GAP-017","Known Build Gaps","Reporting hard-coded sample UI","Applicable Admin role","Reporting hard-coded sample UI","07","OPEN","NOT RUN",""
"ADM-GAP-018","Known Build Gaps","Command Center requires authority/data/recovery UAT","Applicable Admin role","Command Center requires authority/data/recovery UAT","02","OPEN","NOT RUN",""
"SIGNOFF-001","UAT Sign-Off","Guided walkthrough complete","All Admin","Release gate","14","REQUIRED","NOT RUN",""
"SIGNOFF-002","UAT Sign-Off","Authority UAT complete","All Admin","Release gate","14","REQUIRED","NOT RUN",""
"SIGNOFF-003","UAT Sign-Off","Stress UAT complete","All Admin","Release gate","14","REQUIRED","NOT RUN",""
"SIGNOFF-004","UAT Sign-Off","All Critical findings resolved/retested","All Admin","Release gate","14","REQUIRED","NOT RUN",""
"SIGNOFF-005","UAT Sign-Off","All sample/fake Admin surfaces removed or explicitly excluded","All Admin","Release gate","14","REQUIRED","NOT RUN",""
"SIGNOFF-006","UAT Sign-Off","Sarah can perform intended Admin job without SuperUser","All Admin","Release gate","14","REQUIRED","NOT RUN",""
